id	stride	risk	assets	boundary	attackers	scenario	capability_gain	prerequisites	impact	existing_controls	mitigation	owner	follow_up	verification	residual_risk	evidence
TM-001	Spoofing	high	A-07|A-02	TB-01	ACT-NET	Forged, replayed, or misbound OIDC identity	ACT-NET gains a valid Veer principal or another audience's authority.	Public API and incorrect issuer, audience, signature, algorithm, expiry, JWKS, or replay handling; direct adapter misuse or route wiring can expose the same boundary	Unauthorized workspace read or mutation	OIDC, short lifetime, and token exclusion are accepted requirements only for route/server wiring; bounded single-header extraction, explicit trust anchors, strict JWT validation, bounded JWKS rotation, Human/Workload separation, redaction canaries, and rejected-carrier request-metadata scrubbing are implemented as library boundaries	Strict issuer/audience/algorithm/signature/time/JWKS validation, human/workload separation, raw-token canaries, and negative corpus are implemented; preserve exact carrier/type checks, post-rejection request-surface checks, short configured lifetimes, fail-closed route wiring, and cross-cutting regression coverage	OWN-IDENTITY	https://github.com/ArdurAI/veer/issues/22	https://github.com/ArdurAI/veer/issues/22,https://github.com/ArdurAI/veer/issues/28	Identity-provider compromise or a valid stolen token remains usable until bounded expiry or revocation	docs/architecture/0008-oidc-authentication-and-principals.md:37-213
TM-002	Elevation of privilege	high	A-01|A-02	TB-02	ACT-MEMBER	Cross-workspace authorization or role escalation	ACT-MEMBER turns one workspace action into another workspace or administrator action.	Missing stable scope, name-based lookup, incomplete action matrix, self-grant path, or failure to wire the reference evaluator	Tenant data disclosure, mutation, and provider authority	Stable hierarchy IDs, exact membership, sealed targets, a closed default-deny matrix, reserved tenant actions, and cross-workspace/escalation fixtures are implemented as reference-library boundaries; production route/worker enforcement is not	Preserve non-self-escalation and reservations while wiring separate admission/execution checks and storage isolation	OWN-IDENTITY	https://github.com/ArdurAI/veer/issues/23,https://github.com/ArdurAI/veer/issues/24,https://github.com/ArdurAI/veer/issues/26	https://github.com/ArdurAI/veer/issues/23,https://github.com/ArdurAI/veer/issues/26,https://github.com/ArdurAI/veer/issues/28	An authorized workspace administrator can still make harmful choices inside the owned workspace	docs/architecture/0009-deterministic-hierarchical-authorization.md:24-215
TM-003	Elevation of privilege	high	A-02|A-04	TB-05	ACT-MEMBER	Stale authority executes an accepted plan	ACT-MEMBER retains effects after revocation, policy change, generation change, or approval expiry.	Asynchronous work and no execution-time freshness binding	Unauthorized provider change despite correct initial admission	Plans persist decision context by design	Bind actor/policy/generation/connection/digest; reauthorize immediately before effects; invalidate stale approvals and plans	OWN-IDENTITY	https://github.com/ArdurAI/veer/issues/24,https://github.com/ArdurAI/veer/issues/33,https://github.com/ArdurAI/veer/issues/61	https://github.com/ArdurAI/veer/issues/24,https://github.com/ArdurAI/veer/issues/61	Revocation propagation and provider calls already in flight have a bounded race that must become explicit terminal state	docs/security/model.md:15;docs/architecture/overview.md:54
TM-004	Elevation of privilege	high	A-03|A-04	TB-06	ACT-MEMBER	ProviderConnection substitution creates a confused deputy	ACT-MEMBER selects another workspace's connection or changes destination after approval.	Weak connection ownership or mutable execution context	Cross-account/cluster mutation using Veer's broker	The process-local broker binds an exact retained connection, Operation, target generation, action, and recipient and rejects stale or conflicting connection lineage; plans, runtime reauthorization, and destination verification remain deferred	Immutable owned connection ID in plan and operation, current scope check, destination identity verification, and recipient-bound session	OWN-CREDENTIALS	https://github.com/ArdurAI/veer/issues/25,https://github.com/ArdurAI/veer/issues/26,https://github.com/ArdurAI/veer/issues/39	https://github.com/ArdurAI/veer/issues/25,https://github.com/ArdurAI/veer/issues/39	A provider administrator can intentionally broaden or redirect a provider identity outside Veer's control	docs/architecture/0010-provider-neutral-credential-broker.md:68-139
TM-005	Information disclosure	high	A-03|A-07	TB-06	ACT-WORKLOAD	Credential material escapes the broker or adapter	ACT-WORKLOAD or output reader gains a reusable provider/user credential.	Serialization, verbose errors, telemetry, fixtures, support bundles, crash output, or overlong cache	Provider compromise for credential lifetime and scope	Bounded constructed source/session wrappers and service handles use fixed redacted diagnostics, reject generic serialization, expose bytes only to synchronous callbacks, keep cleanup capacity charged through destruction, and destroy lifecycle-invalidated cached or flight-owned source buffers before cancellation becomes observable; every valid unpublished issuer result is revoked once before destruction, while typed nil contains no material and may encode only as JSON `null`; adapter and telemetry integration remain deferred	Memory-only short sessions, field denylist plus allowlist, fixed redacted diagnostic and rejecting marshal surfaces, secret canaries, bounded revocation, and independent rotation	OWN-CREDENTIALS	https://github.com/ArdurAI/veer/issues/25,https://github.com/ArdurAI/veer/issues/39	https://github.com/ArdurAI/veer/issues/25,https://github.com/ArdurAI/veer/issues/28,https://github.com/ArdurAI/veer/issues/39	A compromised process can use a valid in-memory session until expiry revocation or lost ownership	docs/architecture/0010-provider-neutral-credential-broker.md:141-182;docs/architecture/0010-provider-neutral-credential-broker.md:248-415
TM-006	Elevation of privilege	high	A-03|A-04	TB-07	ACT-TENANT	Effective provider identity is broader than Veer's declared scope	ACT-TENANT or a stolen session reaches unrelated account, cluster, namespace, or resources.	Broad IAM/resource policy, cluster role, legacy token, shared credential, or unverified destination	Destructive effects outside the owning workspace/environment	Dedicated identity and short-lived sessions are requirements, not proof	Dedicated role/service account, restrictive trust/RBAC/resource policy, STS session restriction/source identity, bound K8s token, live policy analysis, and fail-closed identity preflight	OWN-CREDENTIALS	https://github.com/ArdurAI/veer/issues/25,https://github.com/ArdurAI/veer/issues/45,https://github.com/ArdurAI/veer/issues/52	https://github.com/ArdurAI/veer/issues/43,https://github.com/ArdurAI/veer/issues/50,https://github.com/ArdurAI/veer/issues/57	Veer cannot reduce an independently broad provider resource policy or provider administrator authority	docs/security/model.md:56;docs/architecture/overview.md:153-181
TM-007	Tampering	high	A-01|A-06	TB-03	ACT-WORKLOAD	Storage query or migration bypasses workspace scope	ACT-WORKLOAD reads/writes another workspace through an omitted predicate, RLS bypass, owner role, or unsafe DDL.	Shared database and insufficient structural scope/role separation	Cross-workspace disclosure, corruption, or authorization bypass	Stable workspace keys and separated roles are accepted design rules	Composite ownership constraints, scope-requiring query API, non-owner `NOBYPASSRLS` runtime, forced RLS defense-in-depth, parameterized SQL, and migration tests	OWN-DATA	https://github.com/ArdurAI/veer/issues/26,https://github.com/ArdurAI/veer/issues/30	https://github.com/ArdurAI/veer/issues/26,https://github.com/ArdurAI/veer/issues/31	Privileged migration backup and recovery roles necessarily cross workspace storage and remain high-impact trust anchors	docs/architecture/overview.md:44;docs/architecture/0002-alpha-implementation-stack.md:400
TM-008	Tampering	high	A-06|A-04	TB-04|TB-05	ACT-WORKLOAD	Poisoned, duplicated, reordered, or replayed queue work gains execution authority	ACT-WORKLOAD injects or replays a plausible message.	Queue access or uncertain publish/ack and a worker trusting the delivery	Unauthorized, stale, or repeated provider effects	Messages are compact references and delivery is explicitly weak	Exact producer/consumer policies, bounded schema, authoritative reload, current authorization, generation/digest check, fence, idempotency, bounded DLQ, and audited redrive	OWN-RECONCILIATION	https://github.com/ArdurAI/veer/issues/32,https://github.com/ArdurAI/veer/issues/34	https://github.com/ArdurAI/veer/issues/28,https://github.com/ArdurAI/veer/issues/32,https://github.com/ArdurAI/veer/issues/37	An uncertain queue acknowledgement can duplicate delivery and must remain harmless rather than impossible	docs/architecture/0002-alpha-implementation-stack.md:147;docs/architecture/0002-alpha-implementation-stack.md:176
TM-009	Elevation of privilege	high	A-06|A-04	TB-05	ACT-WORKLOAD	A stale worker commits after lease/fence loss	ACT-WORKLOAD continues provider or state mutation after replacement.	Process pause, visibility expiry, network partition, duplicate worker, or missing fence at commit	Duplicate resources or stale observation overwriting current state	Store-port design requires monotonic fencing	Fence every external attempt and result commit, stop on lease extension failure, idempotency/ownership keys, and fault injection	OWN-RECONCILIATION	https://github.com/ArdurAI/veer/issues/29,https://github.com/ArdurAI/veer/issues/31,https://github.com/ArdurAI/veer/issues/32,https://github.com/ArdurAI/veer/issues/34	https://github.com/ArdurAI/veer/issues/32,https://github.com/ArdurAI/veer/issues/37	A provider call with an unknown outcome cannot be made exactly once and needs observation plus terminal operator-visible state	docs/architecture/0001-alpha-operational-bounds.md:672;docs/architecture/0002-alpha-implementation-stack.md:161
TM-010	Tampering	high	A-04|A-08	TB-07	ACT-PROVIDER	Malicious provider response or manifest crosses a parser/request boundary	ACT-PROVIDER gains request redirection, injection, resource exhaustion, secret reflection, or unowned mutation.	Unbounded parsing, dynamic identifiers, attacker-selected endpoint, unsafe error or drift logic	Control-plane compromise, data leak, DoS, or provider mutation	External data is declared untrusted; typed adapters are required	Closed schemas, byte/depth/count limits, verified endpoints, parameterized operations, safe errors, ownership proofs, fuzz corpus, and fake-provider conformance	OWN-PROVIDERS	https://github.com/ArdurAI/veer/issues/28,https://github.com/ArdurAI/veer/issues/38,https://github.com/ArdurAI/veer/issues/41	https://github.com/ArdurAI/veer/issues/28,https://github.com/ArdurAI/veer/issues/43	Provider behavior can remain inconsistent or unavailable even after malformed data is rejected	docs/security/model.md:18;docs/architecture/overview.md:153-181
