scope	metric	value	unit	note
small	generated_api_requests_month	23346720	request	The fixed generated workload before recovery-probe API calls
small	api_requests_month	23485104	request	The fixed 744-hour workload including intended duplicate and shutdown recovery-probe API calls
small	api_requests_per_second	20	request-second	Permitted fixed-envelope request rate at the edge
small	alb_native_request_header_bytes	65536	byte	The ALB non-adjustable entire-request-header limit is the enforceable edge ceiling
small	alb_accounted_request_header_bytes	65536	byte	The ALB processed-byte model includes the complete native header ceiling
small	alb_native_request_line_bytes	16384	byte	The ALB non-adjustable request-line limit is a separate enforceable edge ceiling
small	alb_accounted_request_line_bytes	16384	byte	The ALB processed-byte model includes the complete native request-line ceiling
small	alb_non_request_header_processed_bytes_hour	426272000	byte	Prior request-body response and protocol envelope after removing its former one-KiB request-header allowance
small	alb_processed_bytes_hour	6324512000	byte	Non-header envelope plus twenty requests per second at the native header and request-line ceilings
small	alb_lcus	7	LCU	Maximum priced ALB capacity across all four dimensions
small	fixed_response_egress_base_bytes	137700000000	byte	Deterministic qualification workload response bodies and headers before short duplicate and shutdown probe responses
small	fixed_response_egress_bytes	137800564992	byte	Deterministic qualification workload including bounded short duplicate and shutdown probe responses
small	response_egress_month_bytes	150000000000	byte	Durable response-byte admission ledger including quota responses
small	handshake_egress_month_bytes	14000000000	byte	Durable TLS handshake byte ledger
small	provider_egress_month_bytes	27880000000	byte	Bounded provider request traffic
small	internet_egress_month_bytes	195000000000	byte	Billable internet egress envelope without free allowances
small	archive_ingress_gb	16	GB	Normal monthly archive body bytes
small	archive_objects_month	37000	object	Normal monthly archive object ceiling
small	archive_kms_base_requests_per_object	2	request	Client-envelope GenerateDataKey and recovery validation Decrypt
small	archive_kms_retry_requests	7400	request	Equal writer and validator retry partitions totaling ten percent of base
small	archive_kms_total_requests	81400	request	Base requests plus retry reserve
small	live_archive_validator_attempts	40700	attempt	One validation attempt per object plus ten percent retries
small	live_archive_validator_retry_attempts	3700	attempt	Ten percent non-borrowable validation retry partition
small	live_archive_validator_get_requests	81400	request	One exact-version HEAD and one checksum-enabled body GET per validator attempt
small	live_archive_validator_queue_send_retry_requests	3700	request	Ten percent non-borrowable source outbox send retry partition
small	live_archive_validator_queue_quarantine_requests	40700	request	One dead-letter-queue send reserved for every baseline and bounded repair attempt
small	live_archive_validator_dlq_repair_jobs	3700	job	At most the non-borrowable validation retry partition is redriven from the dead-letter queue
small	live_archive_validator_dlq_receive_retry_requests	370	request	Ten percent non-borrowable empty or retried receive partition for bounded repair jobs
small	live_archive_validator_dlq_redrive_send_retry_requests	370	request	Ten percent non-borrowable validation-queue send retry partition for bounded repair jobs
small	live_archive_validator_dlq_reconciliation_requests	11840	request	Receive send and post-send delete per repair job plus explicit receive and send retries
small	live_archive_validator_queue_message_requests	133940	request	Source sends validation deletes quarantine sends and repair-before-delete dead-letter reconciliation
small	live_archive_validator_queue_poll_requests	2678400	request	One application-rate-limited receive per second for 744 hours
small	live_archive_validator_queue_requests	2812340	request	Message operations plus the application-enforced validation-queue poll ceiling
small	live_archive_validator_fargate_vcpu_hours	375.104167	vCPU-hour	Two quarter-vCPU ARM tasks for 744 hours plus one full billing minute for each bounded launch token
small	live_archive_validator_fargate_memory_hours	750.208333	GB-hour	Two half-GB ARM tasks for 744 hours plus one full billing minute for each bounded launch token
small	live_archive_validator_public_ipv4_hours	1500.416667	address-hour	Two continuous public addresses plus one full billing minute for each bounded launch token
small	live_archive_validator_reservation_lease_condition_read_units	81400	read-request-unit	Two transactional read units for the pre-HEAD live lease ConditionCheck per attempt
small	live_archive_validator_reservation_lease_condition_write_units	81400	write-request-unit	Two transactional write units conservatively reserved for the pre-HEAD live lease ConditionCheck per attempt
small	live_archive_validator_final_lease_condition_read_units	81400	read-request-unit	Two transactional read units for the final live lease ConditionCheck per attempt
small	live_archive_validator_final_lease_condition_write_units	81400	write-request-unit	Two transactional write units conservatively reserved for the final live lease ConditionCheck per attempt
small	live_archive_validator_launch_guard_write_units	187488	write-request-unit	One conditional two-KiB launch-ledger update for every intended duplicate and shutdown-race probe invocation
small	live_archive_validator_launch_result_write_units	1490	write-request-unit	One conditional two-KiB task-ARN persistence update for every bounded launch token
small	live_archive_validator_state_read_units	248140	read-request-unit	One receipt read and two lease-condition units in each of two transactions per attempt plus one source-side heartbeat read per minute
small	live_archive_validator_receipt_cleanup_writes	74000	write-request-unit	One conditional exact-identity receipt delete across two boundary-concentrated expiry envelopes
small	live_archive_validator_state_write_units	1287058	write-request-unit	Receipt and checkpoint transactions lease-condition reserves launch guards launch results lease renewal and boundary-safe cleanup
small	live_archive_validator_state_storage_gb	1	GB-month	Two-KiB billed-storage envelopes for retained receipts and cleanup overlap plus bounded counters
small	live_archive_validator_queue_transfer_gb	0.3334144	GB	Retry-inclusive eight-KiB source-send wire envelope charged as cross-region transfer
small	live_archive_validator_read_gb	47.0378496	GB	Baseline ingress plus every validation retry concentrated at the eight-MiB object maximum
small	live_archive_validator_log_gb	0.824	GB	Twenty kilobytes per attempt plus ten MB of bounded service and lease logs
small	live_archive_validator_log_storage_gb	1.648	GB-month	Two boundary-concentrated validator log envelopes at thirty-day retention
small	archive_objects_per_minute	1	object-minute	Admission ceiling below the single active consumer's thirty-object-per-minute capacity
target	generated_api_requests_month	117090720	request	The fixed generated workload before recovery-probe API calls
target	api_requests_month	117229104	request	The fixed 744-hour workload including intended duplicate and shutdown recovery-probe API calls
target	api_requests_per_second	100	request-second	Permitted fixed-envelope request rate at the edge
target	alb_native_request_header_bytes	65536	byte	The ALB non-adjustable entire-request-header limit is the enforceable edge ceiling
target	alb_accounted_request_header_bytes	65536	byte	The ALB processed-byte model includes the complete native header ceiling
target	alb_native_request_line_bytes	16384	byte	The ALB non-adjustable request-line limit is a separate enforceable edge ceiling
target	alb_accounted_request_line_bytes	16384	byte	The ALB processed-byte model includes the complete native request-line ceiling
target	alb_non_request_header_processed_bytes_hour	3631360000	byte	Prior request-body response and protocol envelope after removing its former one-KiB request-header allowance
target	alb_processed_bytes_hour	33122560000	byte	Non-header envelope plus one hundred requests per second at the native header and request-line ceilings
target	alb_lcus	34	LCU	Maximum priced ALB capacity across all four dimensions
target	fixed_response_egress_base_bytes	688520000000	byte	Deterministic qualification workload response bodies and headers before short duplicate and shutdown probe responses
target	fixed_response_egress_bytes	688620564992	byte	Deterministic qualification workload including bounded short duplicate and shutdown probe responses
target	response_egress_month_bytes	690000000000	byte	Durable response-byte admission ledger including quota responses
target	handshake_egress_month_bytes	70000000000	byte	Durable TLS handshake byte ledger
target	provider_egress_month_bytes	233130000000	byte	Bounded provider request traffic
target	internet_egress_month_bytes	995000000000	byte	Billable internet egress envelope without free allowances
target	archive_ingress_gb	80	GB	Normal monthly archive body bytes
target	archive_objects_month	163000	object	Normal monthly archive object ceiling
target	archive_kms_base_requests_per_object	2	request	Client-envelope GenerateDataKey and recovery validation Decrypt
target	archive_kms_retry_requests	32600	request	Equal writer and validator retry partitions totaling ten percent of base
target	archive_kms_total_requests	358600	request	Base requests plus retry reserve
target	live_archive_validator_attempts	179300	attempt	One validation attempt per object plus ten percent retries
target	live_archive_validator_retry_attempts	16300	attempt	Ten percent non-borrowable validation retry partition
target	live_archive_validator_get_requests	358600	request	One exact-version HEAD and one checksum-enabled body GET per validator attempt
target	live_archive_validator_queue_send_retry_requests	16300	request	Ten percent non-borrowable source outbox send retry partition
target	live_archive_validator_queue_quarantine_requests	179300	request	One dead-letter-queue send reserved for every baseline and bounded repair attempt
target	live_archive_validator_dlq_repair_jobs	16300	job	At most the non-borrowable validation retry partition is redriven from the dead-letter queue
target	live_archive_validator_dlq_receive_retry_requests	1630	request	Ten percent non-borrowable empty or retried receive partition for bounded repair jobs
target	live_archive_validator_dlq_redrive_send_retry_requests	1630	request	Ten percent non-borrowable validation-queue send retry partition for bounded repair jobs
target	live_archive_validator_dlq_reconciliation_requests	52160	request	Receive send and post-send delete per repair job plus explicit receive and send retries
target	live_archive_validator_queue_message_requests	590060	request	Source sends validation deletes quarantine sends and repair-before-delete dead-letter reconciliation
target	live_archive_validator_queue_poll_requests	2678400	request	One application-rate-limited receive per second for 744 hours
target	live_archive_validator_queue_requests	3268460	request	Message operations plus the application-enforced validation-queue poll ceiling
target	live_archive_validator_fargate_vcpu_hours	375.104167	vCPU-hour	Two quarter-vCPU ARM tasks for 744 hours plus one full billing minute for each bounded launch token
target	live_archive_validator_fargate_memory_hours	750.208333	GB-hour	Two half-GB ARM tasks for 744 hours plus one full billing minute for each bounded launch token
target	live_archive_validator_public_ipv4_hours	1500.416667	address-hour	Two continuous public addresses plus one full billing minute for each bounded launch token
target	live_archive_validator_reservation_lease_condition_read_units	358600	read-request-unit	Two transactional read units for the pre-HEAD live lease ConditionCheck per attempt
target	live_archive_validator_reservation_lease_condition_write_units	358600	write-request-unit	Two transactional write units conservatively reserved for the pre-HEAD live lease ConditionCheck per attempt
target	live_archive_validator_final_lease_condition_read_units	358600	read-request-unit	Two transactional read units for the final live lease ConditionCheck per attempt
target	live_archive_validator_final_lease_condition_write_units	358600	write-request-unit	Two transactional write units conservatively reserved for the final live lease ConditionCheck per attempt
target	live_archive_validator_launch_guard_write_units	187488	write-request-unit	One conditional two-KiB launch-ledger update for every intended duplicate and shutdown-race probe invocation
target	live_archive_validator_launch_result_write_units	1490	write-request-unit	One conditional two-KiB task-ARN persistence update for every bounded launch token
target	live_archive_validator_state_read_units	941140	read-request-unit	One receipt read and two lease-condition units in each of two transactions per attempt plus one source-side heartbeat read per minute
target	live_archive_validator_receipt_cleanup_writes	326000	write-request-unit	One conditional exact-identity receipt delete across two boundary-concentrated expiry envelopes
target	live_archive_validator_state_write_units	3202258	write-request-unit	Receipt and checkpoint transactions lease-condition reserves launch guards launch results lease renewal and boundary-safe cleanup
target	live_archive_validator_state_storage_gb	4.4	GB-month	Two-KiB billed-storage envelopes for retained receipts and cleanup overlap plus bounded counters
target	live_archive_validator_queue_transfer_gb	1.4688256	GB	Retry-inclusive eight-KiB source-send wire envelope charged as cross-region transfer
target	live_archive_validator_read_gb	216.7343104	GB	Baseline ingress plus every validation retry concentrated at the eight-MiB object maximum
target	live_archive_validator_log_gb	3.596	GB	Twenty kilobytes per attempt plus ten MB of bounded service and lease logs
target	live_archive_validator_log_storage_gb	7.192	GB-month	Two boundary-concentrated validator log envelopes at thirty-day retention
target	archive_objects_per_minute	4	object-minute	Admission ceiling below the single active consumer's thirty-object-per-minute capacity
shared	probe_schedule_identities	44640	schedule	One immutable identity for every minute in a 744-hour month
shared	probe_duplicate_attempts	44640	attempt	One duplicate reserve for every intended identity
shared	probe_shutdown_attempts	4464	attempt	Non-borrowable in-flight and group-deletion propagation reserve
shared	probe_api_requests	138384	request	Two calls per intended identity plus one idempotent write for every duplicate and shutdown delivery
shared	probe_api_sdk_retries	0	attempt	Probe idempotent-write and read clients each make exactly one attempt
shared	probe_short_response_bytes	2048	byte	One-KiB receipt or error body plus one-KiB response headers for a short replay or shutdown delivery
