kind	id_or_name	description	requirement_or_exclusion	accountability_or_evidence
component	API and GitOps edge	Bound request size and destination, authenticate, authorize, validate, admit, and atomically record accepted intent	-	`docs/architecture/overview.md:5-24`; `docs/architecture/0002-alpha-implementation-stack.md:72-87`
component	Identity and policy	Validate configured OIDC JWT access-token trust anchors, normalize distinct Human/Workload principals, and deterministically evaluate bounded PolicySets against sealed Workspace/Environment targets; API and worker enforcement remain deferred	-	`docs/architecture/0008-oidc-authentication-and-principals.md:68-144`; `docs/architecture/0009-deterministic-hierarchical-authorization.md:24-215`
component	PostgreSQL state store	Authoritative desired/observed state, generation, idempotency, integrity anchor, audit data, and outbox in one transaction	-	`docs/architecture/0002-alpha-implementation-stack.md:128-165`
component	Reconciliation queue and worker	Treat deliveries as duplicate and unordered; reload authoritative state; acquire a fence; reauthorize; commit before acknowledgement	-	`docs/architecture/0002-alpha-implementation-stack.md:136-151`; `docs/architecture/0002-alpha-implementation-stack.md:174-204`
component	Credential broker and provider adapters	Bind one retained ProviderConnection and Operation into a bounded process-local session through split resolver/issuer ports; provider adapters later verify destination identity	-	`docs/architecture/0010-provider-neutral-credential-broker.md:24-66`; `docs/security/model.md:73-174`
component	Audit, telemetry, and archive	Define bounded canonical events, sequence and hash-chain verification, fixed retention decisions, signed-export verification inputs, and process-local one-use privileged grants; durable production, archive, signer, and runtime enforcement remain deferred	-	`docs/architecture/0011-tamper-evident-audit-and-privileged-administration.md:36-310`
component	Migration, backup, and recovery tooling	Separate privileged roles, verify schema and backup integrity, and prevent runtime identities from changing control structures	-	`docs/architecture/0002-alpha-implementation-stack.md:395-409`; `docs/architecture/0001-alpha-operational-bounds.md:727-738`
component	Build and release path	Pin and verify inputs, restrict automation authority, and produce consumer-verifiable outputs	-	`docs/development.md:82-114`; issue #15 and issue #66
asset	A-01	Workspace-scoped desired state, observed state, stable identities, and hierarchy	Confidentiality, integrity, availability, and no cross-workspace reference	`docs/architecture/overview.md:26-45`
asset	A-02	Principals, policies, decisions, plans, digests, approvals, and generations	Authenticity, deterministic authorization, freshness, and non-substitution	`docs/architecture/0009-deterministic-hierarchical-authorization.md:36-194`; `docs/security/model.md:35-72`
asset	A-03	ProviderConnection references, external secrets, tokens, role sessions, kubeconfigs, and private keys	Confidentiality, minimum scope and lifetime, revocability, and non-serialization	`docs/security/model.md:73-174`
asset	A-04	Provider resources, account/cluster identity, external identifiers, ownership evidence, quota, and cost authority	Correct destination, ownership, integrity, bounded mutation, and safe deletion	`docs/architecture/overview.md:153-181`
asset	A-05	Audit events, integrity anchors, manifests, exports, and recovery evidence	Completeness relative to an independently trusted terminal checkpoint, ordering, tamper evidence, attribution, confidentiality, and retained availability	`docs/architecture/0011-tamper-evident-audit-and-privileged-administration.md:63-254`
asset	A-06	Outbox records, queue messages, receipts, idempotency records, leases, fences, and operation state	Integrity, freshness, bounded replay, single current owner, and recoverability	`docs/architecture/0002-alpha-implementation-stack.md:134-151`
asset	A-07	OIDC tokens and normalized personal/workload identity claims	Authenticity, confidentiality, audience binding, minimum disclosure, expiry, and redaction	`docs/architecture/0008-oidc-authentication-and-principals.md:37-66`; `docs/architecture/0008-oidc-authentication-and-principals.md:190-213`; issue #22
asset	A-08	Service availability, quotas, rate limits, concurrency, telemetry cardinality, and cost budgets	Fairness, bounded consumption, measurable saturation, and fail-safe shedding	`docs/architecture/0001-alpha-operational-bounds.md:665-699`
asset	A-09	Source, dependencies, CI identities, binaries, images, SBOMs, signatures, and provenance	Integrity, authenticity, reproducibility, least privilege, and consumer verification	`docs/architecture/0002-alpha-implementation-stack.md:395-409`; issues #15 and #66
attacker	ACT-NET	Anonymous network client that can create arbitrary requests, endpoints, timing, and malformed payloads	Valid Veer principal, internal network identity, database access, provider credential, or CI authority	-
attacker	ACT-MEMBER	Authenticated human or automation authorized only for named actions inside one workspace/environment	Another workspace, workspace-administrator, platform-administrator, provider-administrator, or release authority	-
attacker	ACT-TENANT	Workload controlled inside an environment that can originate network traffic and manipulate its own provider resources	Kubernetes cluster-admin, AWS account administrator, Veer runtime identity, or another environment	-
attacker	ACT-WORKLOAD	Compromised API, worker, queue producer/consumer, or runtime pod with only its assigned workload identity	Database owner/migrator, redrive operator, provider administrator, platform break-glass, or release signer unless a control failure grants it	-
attacker	ACT-PROVIDER	Provider API, webhook, or managed resource state that can return malformed, stale, reordered, oversized, or adversarial data	Veer policy/store mutation, credential broker control, or ownership of unrelated provider resources	-
attacker	ACT-PLATFORM	Authorized but fallible or malicious platform operator using a documented administrative, migration, backup, or recovery workflow	Provider root, KMS/key compromise, protected release signer, or an unaudited direct database mutation as normal behavior	-
attacker	ACT-SUPPLY	Contributor, compromised dependency publisher, action/tag owner, registry input, or build-input attacker	Protected branch override, release identity, signing key, or consumer environment unless the supply-chain control fails	-
boundary	TB-01	External clients and GitOps automation to API: token, request, desired state, source revision, and idempotency key	TLS, peer/destination rules, body/time limits, schema validation, one stripped header-only Bearer value, rejected-carrier metadata scrubbing, configured OIDC validation, correlation, and explicit absent-credential handling	OWN-IDENTITY
boundary	TB-02	API/core to identity and policy: normalized principal, registered action, hierarchy-sealed target, immutable PolicySet, and canonical decision	Stable IDs, exact membership, default deny, reserved actions, deterministic matrix, explicit cross-boundary denial, and separate tested request/execution integration	OWN-IDENTITY
boundary	TB-03	API/worker/core to PostgreSQL: scoped queries, mutations, transactions, and health	Verified TLS, parameterized SQL, composite tenant constraints, non-owner runtime role, forced row policy defense-in-depth, atomicity, and safe errors	OWN-DATA
boundary	TB-04	PostgreSQL outbox to queue: work identity, scope, generation, digest, priority, and availability	Bounded non-secret reference, restrictive publisher role, TLS/encryption, durable publish status, and duplicate-safe semantics	OWN-RECONCILIATION
boundary	TB-05	Queue to worker/core: untrusted receipt and duplicate/reordered delivery	Restrictive consumer identity, schema/size checks, authoritative reload, current authorization, idempotency, lease/fence, and commit-before-ack	OWN-RECONCILIATION
boundary	TB-06	Core/credential broker to provider adapter: owned connection reference, operation scope, and short-lived session	Connection ownership, recipient binding, minimum duration/scope, no caller credential, memory-only handling, refresh/revocation, and canary tests	OWN-CREDENTIALS
boundary	TB-07	Provider adapter to AWS/Kubernetes: provider request, identity, capability, external state, and response	Account/partition/region/cluster verification, TLS, deadlines, allowlisted capability, response validation, ownership proof, and bounded retries	OWN-PROVIDERS
boundary	TB-08	API/worker/store to audit and telemetry: actor, decision, outcome, errors, and correlation	Canonical bounded events and references, pseudonymous attribution, contiguous stream sequence, chain verification, independently trusted terminal checkpoint for tail completeness, scoped query/export, and fixed byte/retention limits; durable atomic emission remains deferred	OWN-SECURITY
boundary	TB-09	Operator/admin to export, quarantine, redrive, recovery, policy, migration, and break-glass capabilities	Platform identity separate from Workspace policy, future strong-authentication verifier adapter, exact action/sealed scope/reason, one-use grant of at most 15 minutes, immutable audit, and durable cross-node enforcement before execution	OWN-OPERATIONS
boundary	TB-10	Source/dependencies/CI to release and deployment: code, generated artifacts, identity, metadata, and provenance	Protected review, immutable inputs, secret/dependency/static/IaC scans, least-privilege ephemeral identity, SBOM, signature, provenance, and consumer verification	OWN-SUPPLY-CHAIN
boundary	TB-11	Primary state to backup/archive/recovery: checkpoint, integrity ledger, keys, and restore authority	Encryption, separately scoped roles and keys, immutable retention, freshness/integrity proof, isolated restore, and authority revalidation	OWN-DATA
boundary	TB-12	Configuration and migration input to runtime/store: typed settings, schema version, and privileged DDL	Closed configuration schema, secret references, checksummed immutable migration, dedicated migrator, transaction by default, and rollback boundary	OWN-DATA
boundary	TB-13	Signed retention or recovery state to archive sweeper/cleanup: exact prefix, version IDs, candidate/retired status, and permanent-delete authority	Separate roles, exact-prefix/tag constraints, signed state verification, active-baseline deny, no retention/legal-hold mutation, explicit bypass, immutable audit, and final empty-version proof	OWN-DATA
owner	OWN-SECURITY	Threat model, cross-cutting security invariants, data handling, and security regression coverage	-	Issues #14 and #28
owner	OWN-IDENTITY	OIDC, principal normalization, roles, policy, admission, reauthorization, and approvals	-	Issues #22, #23, #24, and #61
owner	OWN-CREDENTIALS	ProviderConnection ownership, credential broker, short-lived sessions, refresh, and revocation	-	Issues #25, #39, #45, and #52
owner	OWN-DATA	Workspace storage isolation, PostgreSQL roles/constraints, audit integrity, backup, and recovery	-	Issues #26, #27, #30, #31, and #64
owner	OWN-RECONCILIATION	Outbox, queue, lease, fence, retry, redrive, cancellation, deletion, and recovery	-	Issues #29 through #37
owner	OWN-PROVIDERS	Adapter capability, destination identity, ownership, drift, failure normalization, and conformance	-	Issues #38 through #57
owner	OWN-OPERATIONS	Deployment hardening, telemetry, privileged administration, capacity, and recovery operation	-	Issues #27, #63, #64, and #65
owner	OWN-SUPPLY-CHAIN	CI review, dependency/tool inputs, release artifacts, SBOM, signature, and provenance	-	Issues #15 and #66
